# Testaments of Plague in London; 1375,,
# Source: Figure 7.35 on page 185 of S. K. Cohn (2002) 'The Black Death Transformed: Disease and Culture in Early Renaissance Europe',,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,testaments
1375,1,2.9
1375,2,0
1375,3,1.1
1375,4,1.6
1375,5,1.6
1375,6,2.9
1375,7,11
1375,8,6.6
1375,9,1.6
1375,10,1.6
1375,11,0
1375,12,1.1
